"data","represa","nivel","vabs","vrel","vmax","afluente","descarregada","tunel"
"2015-03-26","J",752.79,49.19,66.4,74.09,7.28,0.05,2.50
"2015-03-26","T",743.22,30.47,35.8,85.20,5.41,0.10,-1
"2015-03-27","PN",753.90,27.78,8.4,329.37,2.71,6.16,-1
"2015-03-27","P",762.30,11.70,31.8,36.73,0.93,1.57,6.83
"2015-03-27","B",752.35,12.92,26.7,48.42,1.25,0.12,6.83
"2015-03-27","J",752.82,49.60,66.9,74.09,7.41,0.05,2.62
"2015-03-27","T",743.18,30.03,35.2,85.20,7.52,0.10,-1
"2015-03-28","PN",753.87,27.48,8.3,329.37,2.73,6.16,-1
"2015-03-28","P",762.28,11.64,31.7,36.73,0.94,1.57,7.64
"2015-03-28","B",752.37,13.02,26.9,48.42,1.25,0.12,7.64
"2015-03-28","J",752.85,50.01,67.5,74.09,7.75,0.05,2.95
